SubscriptionName,Date,ServiceName,ServiceResource,Quantity,Cost
DP100 Sponsorship,1/7/2021,Key Vault,Operations,0.0002,6e-06
DP100 Sponsorship,1/7/2021,Storage,Read Operations,0.0004,1.44e-07
DP100 Sponsorship,1/7/2021,Storage,All Other Operations,0.0022,9.46e-06
DP100 Sponsorship,1/7/2021,Storage,LRS List and Create Container Operations,0.0001,5.4e-06
DP100 Sponsorship,1/7/2021,Storage,Read Operations,0.0001,1.5e-07
DP100 Sponsorship,1/7/2021,Bandwidth,Data Transfer Out,0.000416,3.6192e-05
DP100 Sponsorship,1/7/2021,Storage,Write Operations,0.0004,1.44e-07
DP100 Sponsorship,1/7/2021,Storage,Batch Write Operations,0.0038,1.368e-06
DP100 Sponsorship,1/7/2021,Storage,P4 Disks,0.010752,0.0624390144
DP100 Sponsorship,1/7/2021,Virtual Machines,D2 v3/D2s v3,3.400008,0.40800096
DP100 Sponsorship,1/7/2021,Virtual Network,Dynamic Public IP,3.114722,0.012458888
DP100 Sponsorship,1/7/2021,Storage,LRS Write Operations,0.0001,1.5e-06
DP100 Sponsorship,1/8/2021,Virtual Network,Static Public IP,10.835278,0.0390070008
DP100 Sponsorship,1/8/2021,Storage,All Other Operations,0.0006,2.58e-06
DP100 Sponsorship,1/8/2021,Network Watcher,Diagnostic Tool API,1.0,0.001
DP100 Sponsorship,1/8/2021,Azure DNS,Public Zones,0.016129,0.0080645
DP100 Sponsorship,1/8/2021,Bandwidth,Data Transfer Out,0.094531,0.008224197
DP100 Sponsorship,1/8/2021,Storage,Batch Write Operations,0.0146,5.256e-06
DP100 Sponsorship,1/8/2021,Storage,P4 Disks,0.032256,0.1873170432
DP100 Sponsorship,1/8/2021,Virtual Machines,D2 v3/D2s v3,10.533344,1.26400128
DP100 Sponsorship,1/8/2021,Virtual Network,Dynamic Public IP,1.551389,0.006205556
DP100 Sponsorship,1/9/2021,Virtual Network,Static Public IP,28.0,0.1008
DP100 Sponsorship,1/9/2021,Storage,All Other Operations,0.0002,8.6e-07
DP100 Sponsorship,1/9/2021,Azure DNS,Public Zones,0.032258,0.016129
DP100 Sponsorship,1/9/2021,Storage,Batch Write Operations,0.0146,5.256e-06
DP100 Sponsorship,1/9/2021,Storage,P4 Disks,0.032256,0.1873170432
DP100 Sponsorship,1/10/2021,Virtual Network,Static Public IP,20.0,0.072
DP100 Sponsorship,1/10/2021,Storage,All Other Operations,0.0002,8.6e-07
DP100 Sponsorship,1/10/2021,Storage,LRS Data Stored,2.4e-05,1.08e-06
DP100 Sponsorship,1/10/2021,Azure DNS,Public Zones,0.032258,0.016129
DP100 Sponsorship,1/10/2021,Bandwidth,Data Transfer Out,0.021934,0.001908258
DP100 Sponsorship,1/10/2021,Storage,Batch Write Operations,0.0146,5.256e-06
DP100 Sponsorship,1/10/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,2e-06,1e-07
DP100 Sponsorship,1/10/2021,Storage,P4 Disks,0.032256,0.1873170432
DP100 Sponsorship,1/10/2021,Virtual Machines,D2 v3/D2s v3,9.033354,1.08400248
DP100 Sponsorship,1/11/2021,Logic Apps,Built-in Actions,2.0,5e-05
DP100 Sponsorship,1/11/2021,Virtual Network,Static Public IP,23.133333,0.0832799988
DP100 Sponsorship,1/11/2021,Logic Apps,Data Retention,3e-06,3.6e-07
DP100 Sponsorship,1/11/2021,Logic Apps,Standard Connector Actions,1.0,0.000125
DP100 Sponsorship,1/11/2021,Storage,LRS Data Stored,4.2e-05,1.89e-06
DP100 Sponsorship,1/11/2021,Virtual Machines,D4 v3/D4s v3,19.550051,4.69201224
DP100 Sponsorship,1/11/2021,Storage,LRS Snapshots,0.105007,0.00525035
DP100 Sponsorship,1/11/2021,Storage,Disk Operations,0.0005,2.5e-07
